time_s,left_visible,right_visible,left_palm_x,left_palm_y,left_palm_z,right_palm_x,right_palm_y,right_palm_z,ppg
2,true,true,-0.14,0.22,0.50,0.14,0.22,0.50,800
6,true,true,-0.18,0.24,0.54,0.18,0.24,0.54,812
14,true,true,-0.12,0.22,0.50,0.12,0.22,0.50,910
20,true,true,-0.13,0.23,0.51,0.13,0.23,0.51,805
26,true,true,-0.13,0.23,0.51,0.13,0.23,0.51,798
35,false,false,,,,,,805
41,false,false,,,,,,810
52,true,true,-0.15,0.26,0.52,0.15,0.26,0.52,890
66,true,true,-0.11,0.26,0.52,0.11,0.26,0.52,815
72,true,true,-0.18,0.36,0.64,0.18,0.36,0.64,820
80,true,true,-0.10,0.23,0.53,0.10,0.23,0.53,805
86,true,true,-0.10,0.23,0.53,0.10,0.23,0.53,808
